Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
11,CA-2022-001291,2022-07-07,2022-07-11,Standard Class,CU-00628,Customer_628,Consumer,United States,Portland,Oregon,58551,West,PRD-ART-6454,Office Supplies,Art,Dixon Ticonderoga,506.15,2,0.3,84.94
12,CA-2021-000819,2021-11-20,2021-11-27,Second Class,CU-00573,Customer_573,Corporate,United States,Baltimore,Connecticut,17184,East,PRD-APP-7274,Office Supplies,Appliances,Hoover Stick Vac,1492.01,2,0.0,132.14
13,CA-2020-001910,2022-01-10,2022-01-13,Standard Class,CU-00065,Customer_65,Corporate,United States,San Francisco,Colorado,41278,West,PRD-ENV-6250,Office Supplies,Envelopes,Kraft Clasp,522.7,2,0.2,76.98
14,CA-2019-000853,2021-12-27,2022-01-02,First Class,CU-00296,Customer_296,Consumer,United States,Washington DC,New Hampshire,98907,East,PRD-LAB-4085,Office Supplies,Labels,Avery Labels,2768.93,5,0.0,617.41
15,CA-2022-000164,2021-10-13,2021-10-16,Standard Class,CU-00661,Customer_661,Consumer,United States,Seattle,Washington,29392,West,PRD-BOO-7824,Furniture,Bookcases,Atlantic Oskar,5636.08,6,0.0,326.77
16,CA-2022-001108,2020-11-18,2020-11-22,Standard Class,CU-00314,Customer_314,Consumer,United States,Philadelphia,New Hampshire,94498,East,PRD-LAB-9686,Office Supplies,Labels,Avery Self-Adhesive,2154.98,4,0.0,302.24
17,CA-2020-001662,2019-10-31,2019-11-04,Second Class,CU-00683,Customer_683,Consumer,United States,Detroit,Ohio,16202,Central,PRD-BIN-9770,Office Supplies,Binders,Ibico Mag Binder,817.64,1,0.3,118.59
18,CA-2019-001075,2019-09-17,2019-09-21,Standard Class,CU-00547,Customer_547,Consumer,United States,New York,Connecticut,85304,East,PRD-ENV-6192,Office Supplies,Envelopes,Poly String-Tie,995.49,6,0.1,217.51
19,CA-2021-000931,2020-10-17,2020-10-20,Second Class,CU-00579,Customer_579,Home Office,United States,Kansas City,Michigan,70036,Central,PRD-MAC-8764,Technology,Machines,Cisco TelePresence,9849.58,5,0.5,541.79
20,CA-2022-001308,2019-10-13,2019-10-18,Second Class,CU-00228,Customer_228,Home Office,United States,Houston,Arkansas,15253,South,PRD-BOO-4610,Furniture,Bookcases,Altra Furniture,245.76,2,0.2,15.48
21,CA-2021-000158,2021-07-01,2021-07-06,Second Class,CU-00152,Customer_152,Corporate,United States,Los Angeles,Washington,80570,West,PRD-PHO-9035,Technology,Phones,Apple iPhone,3376.59,2,0.4,433.32
22,CA-2019-001097,2020-12-07,2020-12-11,Second Class,CU-00435,Customer_435,Consumer,United States,Detroit,Illinois,47309,Central,PRD-ACC-8278,Technology,Accessories,Belkin Mouse Pad,3936.03,3,0.0,715.92
23,CA-2020-001462,2021-08-30,2021-09-06,Standard Class,CU-00570,Customer_570,Consumer,United States,Philadelphia,Virginia,49745,East,PRD-LAB-7156,Office Supplies,Labels,Avery Labels,297.65,1,0.4,50.83
24,CA-2019-000267,2020-08-15,2020-08-20,First Class,CU-00656,Customer_656,Corporate,United States,San Francisco,Oregon,60039,West,PRD-FUR-9095,Furniture,Furnishings,Tensor Lamp,2098.79,3,0.0,215.99
25,CA-2021-000756,2022-11-09,2022-11-14,Standard Class,CU-00703,Customer_703,Consumer,United States,Miami,Florida,74472,South,PRD-FUR-2093,Furniture,Furnishings,DAX Frame,2448.71,3,0.1,251.16
26,CA-2022-001854,2019-02-05,2019-02-11,First Class,CU-00652,Customer_652,Corporate,United States,Boston,New Hampshire,85400,East,PRD-BOO-6237,Furniture,Bookcases,Sauder Barrister,3076.06,2,0.0,169.19
27,CA-2021-000153,2019-06-07,2019-06-12,Standard Class,CU-00309,Customer_309,Consumer,United States,Atlanta,South Carolina,93747,South,PRD-BIN-3738,Office Supplies,Binders,Avery Heavy Duty,1467.13,2,0.3,211.89
28,CA-2021-001427,2020-12-21,2020-12-27,Second Class,CU-00193,Customer_193,Corporate,United States,Houston,South Carolina,86027,South,PRD-FUR-8944,Furniture,Furnishings,Tensor Lamp,3302.69,2,0.0,397.13
29,CA-2022-000650,2019-08-27,2019-09-02,Standard Class,CU-00351,Customer_351,Corporate,United States,Washington DC,Maine,20013,East,PRD-PHO-6104,Technology,Phones,Cisco SPA303,678.71,3,0.5,96.34
30,CA-2019-001365,2022-11-10,2022-11-14,Standard Class,CU-00044,Customer_44,Consumer,United States,Philadelphia,Massachusetts,28659,East,PRD-CHA-7960,Furniture,Chairs,Global Ergonomic,2652.22,3,0.3,275.56
31,CA-2022-000996,2019-03-30,2019-04-02,First Class,CU-00150,Customer_150,Consumer,United States,Washington DC,Pennsylvania,43162,East,PRD-ART-4365,Office Supplies,Art,Avery Markers,591.43,3,0.2,63.66
32,CA-2020-000159,2022-06-09,2022-06-13,Standard Class,CU-00551,Customer_551,Home Office,United States,Atlanta,Florida,75619,South,PRD-ART-9664,Office Supplies,Art,Avery Markers,236.32,1,0.0,43.99
33,CA-2019-000863,2022-11-30,2022-12-05,Same Day,CU-00780,Customer_780,Corporate,United States,Las Vegas,Montana,58033,West,PRD-ART-6813,Office Supplies,Art,Faber-Castell Pencils,3235.16,7,0.1,458.36
34,CA-2022-001903,2021-01-09,2021-01-14,Same Day,CU-00704,Customer_704,Consumer,United States,Baltimore,Massachusetts,74987,East,PRD-APP-6375,Office Supplies,Appliances,Hoover Stick Vac,839.99,2,0.1,105.49
35,CA-2019-000568,2019-05-23,2019-05-29,Standard Class,CU-00088,Customer_88,Consumer,United States,Detroit,Wisconsin,34744,Central,PRD-MAC-1209,Technology,Machines,Lexmark Laser,6597.74,7,0.1,361.27
36,CA-2022-001315,2020-02-12,2020-02-16,Standard Class,CU-00596,Customer_596,Consumer,United States,Philadelphia,Pennsylvania,57672,East,PRD-PAP-4815,Office Supplies,Paper,Hammermill Copy,3489.76,4,0.0,787.36
37,CA-2022-000153,2022-05-20,2022-05-27,Second Class,CU-00102,Customer_102,Corporate,United States,Detroit,Iowa,97382,Central,PRD-MAC-8448,Technology,Machines,Lexmark Laser,673.34,1,0.2,26.29
38,CA-2021-000330,2022-05-23,2022-05-28,Standard Class,CU-00268,Customer_268,Home Office,United States,Chicago,Michigan,60152,Central,PRD-BOO-9518,Furniture,Bookcases,Bush Bookcase,4767.66,4,0.2,284.39
39,CA-2019-000091,2021-02-24,2021-02-28,Standard Class,CU-00504,Customer_504,Corporate,United States,New York,New Jersey,25615,East,PRD-PHO-1589,Technology,Phones,Motorola Smart,2451.75,1,0.0,385.68
40,CA-2020-000846,2022-10-14,2022-10-18,Same Day,CU-00606,Customer_606,Consumer,United States,Kansas City,Minnesota,84560,Central,PRD-SUP-8797,Office Supplies,Supplies,ACCO Binder,582.97,3,0.0,10.0
41,CA-2019-001187,2019-02-27,2019-03-04,Standard Class,CU-00422,Customer_422,Corporate,United States,Atlanta,Alabama,18050,South,PRD-FUR-1440,Furniture,Furnishings,Tensor Lamp,5111.18,4,0.1,794.38
42,CA-2020-001932,2019-06-23,2019-06-30,First Class,CU-00528,Customer_528,Corporate,United States,San Francisco,Arizona,87664,West,PRD-FUR-6531,Furniture,Furnishings,Eldon Desk,658.78,1,0.2,75.38
43,CA-2020-001271,2021-02-12,2021-02-17,Standard Class,CU-00684,Customer_684,Consumer,United States,St. Louis,Illinois,51486,Central,PRD-ART-2639,Office Supplies,Art,Dixon Ticonderoga,684.3,3,0.1,121.83
44,CA-2021-001400,2022-07-25,2022-07-31,Second Class,CU-00095,Customer_95,Corporate,United States,Miami,Louisiana,75136,South,PRD-COP-5344,Technology,Copiers,Xerox DocuCenter,2994.82,1,0.0,857.82
45,CA-2021-000414,2021-12-23,2021-12-27,Standard Class,CU-00640,Customer_640,Corporate,United States,Atlanta,Georgia,84242,South,PRD-BOO-9268,Furniture,Bookcases,Atlantic Oskar,4552.57,4,0.0,257.14
46,CA-2019-000723,2022-03-27,2022-03-31,Second Class,CU-00745,Customer_745,Corporate,United States,Los Angeles,Idaho,34450,West,PRD-STO-9728,Office Supplies,Storage,Fellowes Bankers,2458.82,4,0.4,248.0
47,CA-2021-001359,2019-11-05,2019-11-10,First Class,CU-00274,Customer_274,Corporate,United States,Miami,Florida,41506,South,PRD-PAP-6220,Office Supplies,Paper,Georgia-Pacific,3501.05,4,0.2,845.56
48,CA-2021-001142,2020-05-03,2020-05-06,Standard Class,CU-00280,Customer_280,Corporate,United States,New Orleans,Louisiana,63197,South,PRD-CHA-8604,Furniture,Chairs,Staples Hyken,2797.47,2,0.4,206.75
49,CA-2020-001358,2019-03-28,2019-04-04,Second Class,CU-00373,Customer_373,Consumer,United States,New Orleans,Florida,94448,South,PRD-APP-2375,Office Supplies,Appliances,Hoover Stick Vac,726.38,2,0.0,101.72
50,CA-2021-000460,2022-03-15,2022-03-20,First Class,CU-00400,Customer_400,Home Office,United States,Minneapolis,Missouri,24671,Central,PRD-MAC-2478,Technology,Machines,Sharp Calculat,540.71,1,0.0,28.4
51,CA-2019-001516,2019-12-25,2019-12-29,Standard Class,CU-00700,Customer_700,Corporate,United States,Minneapolis,Michigan,24000,Central,PRD-TAB-1916,Furniture,Tables,KI Adjustable,2643.94,2,0.0,-126.15
52,CA-2019-001453,2020-09-23,2020-09-25,Standard Class,CU-00702,Customer_702,Consumer,United States,Seattle,Montana,58200,West,PRD-ACC-4926,Technology,Accessories,Logitech M325,1156.06,1,0.2,229.71
53,CA-2019-000636,2020-06-07,2020-06-11,Standard Class,CU-00660,Customer_660,Home Office,United States,Kansas City,Illinois,61508,Central,PRD-COP-4446,Technology,Copiers,Xerox DocuCenter,2067.21,4,0.0,613.62
54,CA-2022-000745,2020-11-12,2020-11-17,Second Class,CU-00465,Customer_465,Consumer,United States,Washington DC,Maine,64127,East,PRD-ACC-5275,Technology,Accessories,Belkin Mouse Pad,1798.3,2,0.3,328.78
55,CA-2022-000071,2021-03-31,2021-04-04,Second Class,CU-00609,Customer_609,Corporate,United States,Portland,Oregon,10403,West,PRD-BOO-3585,Furniture,Bookcases,Bush Bookcase,1773.25,1,0.2,82.78
56,CA-2022-000360,2020-06-17,2020-06-20,Standard Class,CU-00585,Customer_585,Corporate,United States,Miami,Arkansas,27499,South,PRD-LAB-4254,Office Supplies,Labels,Xerox 1900,446.18,1,0.0,74.4
57,CA-2021-001215,2020-06-20,2020-06-25,Standard Class,CU-00539,Customer_539,Home Office,United States,Los Angeles,Montana,35987,West,PRD-TAB-5262,Furniture,Tables,Bevis Round,1558.91,1,0.1,-55.22
58,CA-2021-001353,2020-02-21,2020-02-24,Second Class,CU-00745,Customer_745,Home Office,United States,Kansas City,Minnesota,39423,Central,PRD-MAC-9096,Technology,Machines,Cisco TelePresence,2105.72,2,0.0,125.76
59,CA-2022-000010,2020-06-20,2020-06-24,Second Class,CU-00408,Customer_408,Consumer,United States,Minneapolis,Illinois,48036,Central,PRD-ENV-8506,Office Supplies,Envelopes,Staples Business,340.15,1,0.4,74.28
60,CA-2022-000919,2019-07-15,2019-07-20,Standard Class,CU-00047,Customer_47,Corporate,United States,St. Louis,Ohio,19575,Central,PRD-CHA-6804,Furniture,Chairs,La-Z-Boy,20893.68,7,0.1,2160.51
61,CA-2020-001029,2021-01-29,2021-02-01,Standard Class,CU-00728,Customer_728,Consumer,United States,Detroit,Wisconsin,97983,Central,PRD-ACC-5264,Technology,Accessories,Belkin Mouse Pad,1258.31,1,0.1,151.76
62,CA-2022-000564,2021-10-19,2021-10-25,First Class,CU-00447,Customer_447,Consumer,United States,Boston,New York,26760,East,PRD-MAC-5635,Technology,Machines,Sharp Calculat,3449.82,5,0.4,174.25
63,CA-2020-000343,2022-07-27,2022-08-02,Standard Class,CU-00507,Customer_507,Consumer,United States,Minneapolis,Kansas,96169,Central,PRD-CHA-4766,Furniture,Chairs,Global Ergonomic,764.66,1,0.1,52.96
64,CA-2020-001638,2019-10-31,2019-11-03,Standard Class,CU-00005,Customer_5,Consumer,United States,Kansas City,Iowa,24744,Central,PRD-FUR-3757,Furniture,Furnishings,Deflect-O Panel,5252.15,3,0.2,521.5
65,CA-2020-000055,2022-10-18,2022-10-21,Standard Class,CU-00030,Customer_30,Corporate,United States,Chicago,Missouri,75288,Central,PRD-FAS-7458,Office Supplies,Fasteners,Acco Brass Clips,2231.09,2,0.0,379.03
66,CA-2022-001398,2022-09-09,2022-09-11,Standard Class,CU-00073,Customer_73,Home Office,United States,Kansas City,Ohio,87883,Central,PRD-PHO-3118,Technology,Phones,Cisco SPA303,205.29,1,0.0,21.08
67,CA-2022-001573,2020-05-06,2020-05-13,Standard Class,CU-00124,Customer_124,Corporate,United States,Washington DC,Maryland,33332,East,PRD-ACC-4411,Technology,Accessories,Logitech M325,1451.32,1,0.3,253.68
68,CA-2022-000003,2022-09-24,2022-09-27,Standard Class,CU-00775,Customer_775,Corporate,United States,New Orleans,Florida,57060,South,PRD-ENV-8298,Office Supplies,Envelopes,Universal Peel-Seal,2591.62,5,0.1,420.24
69,CA-2019-000315,2019-03-24,2019-03-29,Standard Class,CU-00490,Customer_490,Consumer,United States,Portland,Utah,22182,West,PRD-COP-9115,Technology,Copiers,Canon imageCLASS,2399.18,2,0.1,448.35
70,CA-2021-001249,2020-08-28,2020-09-02,Standard Class,CU-00260,Customer_260,Home Office,United States,Dallas,South Carolina,66063,South,PRD-APP-9366,Office Supplies,Appliances,Hoover Stick Vac,193.0,2,0.2,22.1
71,CA-2019-001565,2020-01-09,2020-01-15,Standard Class,CU-00192,Customer_192,Corporate,United States,New York,Maine,33534,East,PRD-TAB-6143,Furniture,Tables,KI Adjustable,3178.6,3,0.2,-136.53
72,CA-2020-001978,2019-02-06,2019-02-08,First Class,CU-00634,Customer_634,Consumer,United States,Houston,Mississippi,80041,South,PRD-CHA-8539,Furniture,Chairs,La-Z-Boy,7359.66,3,0.2,657.09
73,CA-2021-000432,2019-10-04,2019-10-06,Standard Class,CU-00552,Customer_552,Corporate,United States,Detroit,Minnesota,26395,Central,PRD-BOO-1439,Furniture,Bookcases,Sauder Barrister,1665.88,1,0.1,107.51
74,CA-2021-001003,2019-02-14,2019-02-17,Standard Class,CU-00402,Customer_402,Consumer,United States,Minneapolis,Iowa,65296,Central,PRD-PHO-8724,Technology,Phones,Motorola Smart,1145.6,1,0.0,192.09
75,CA-2019-001259,2022-05-05,2022-05-10,Standard Class,CU-00500,Customer_500,Consumer,United States,Kansas City,Iowa,85846,Central,PRD-ACC-7548,Technology,Accessories,Kensington Lock,3452.86,2,0.2,657.43
76,CA-2022-001105,2019-05-11,2019-05-15,Standard Class,CU-00166,Customer_166,Consumer,United States,Washington DC,Connecticut,82516,East,PRD-STO-9106,Office Supplies,Storage,Storex Drawers,2101.27,3,0.1,161.67
77,CA-2022-001900,2020-03-25,2020-03-30,Second Class,CU-00669,Customer_669,Consumer,United States,Miami,Louisiana,76536,South,PRD-STO-5806,Office Supplies,Storage,Eldon Stackables,1277.97,3,0.1,129.3
78,CA-2019-000235,2022-11-15,2022-11-20,Standard Class,CU-00506,Customer_506,Corporate,United States,Las Vegas,Nevada,47022,West,PRD-BIN-4268,Office Supplies,Binders,Ibico Mag Binder,416.28,1,0.3,68.5
79,CA-2019-001239,2021-01-01,2021-01-06,Second Class,CU-00349,Customer_349,Consumer,United States,New York,Connecticut,44184,East,PRD-BOO-6533,Furniture,Bookcases,Bush Bookcase,2109.23,2,0.0,108.16
80,CA-2019-000681,2022-10-03,2022-10-06,Standard Class,CU-00576,Customer_576,Corporate,United States,Dallas,South Carolina,89205,South,PRD-TAB-2817,Furniture,Tables,Bevis Round,9067.45,6,0.3,-345.07
81,CA-2019-001803,2020-08-21,2020-08-26,Same Day,CU-00450,Customer_450,Consumer,United States,Philadelphia,Connecticut,30582,East,PRD-STO-3527,Office Supplies,Storage,Storex Drawers,1220.56,3,0.0,118.07
82,CA-2022-000483,2020-08-10,2020-08-15,First Class,CU-00142,Customer_142,Corporate,United States,Philadelphia,Maine,54737,East,PRD-FUR-6908,Furniture,Furnishings,DAX Frame,2074.17,3,0.1,291.79
83,CA-2019-000103,2021-01-10,2021-01-17,Second Class,CU-00403,Customer_403,Consumer,United States,Kansas City,Kansas,99417,Central,PRD-APP-2389,Office Supplies,Appliances,Hoover Stick Vac,681.48,2,0.3,72.0
84,CA-2022-001259,2022-12-31,2023-01-06,Standard Class,CU-00353,Customer_353,Corporate,United States,Las Vegas,California,92786,West,PRD-MAC-7586,Technology,Machines,Sharp Calculat,12427.04,5,0.2,551.9
85,CA-2022-000163,2020-02-25,2020-03-02,Second Class,CU-00400,Customer_400,Consumer,United States,Portland,Montana,94394,West,PRD-STO-7627,Office Supplies,Storage,Fellowes Bankers,4232.49,4,0.0,346.2
86,CA-2020-000750,2020-03-13,2020-03-16,Standard Class,CU-00793,Customer_793,Corporate,United States,Las Vegas,Idaho,47214,West,PRD-SUP-3621,Office Supplies,Supplies,Dixon Pencil,962.33,1,0.1,16.46
87,CA-2021-001455,2022-07-08,2022-07-13,Standard Class,CU-00596,Customer_596,Consumer,United States,New York,Connecticut,44046,East,PRD-BOO-5881,Furniture,Bookcases,Altra Furniture,77.19,3,0.0,5.31
88,CA-2020-001131,2022-09-27,2022-10-03,Standard Class,CU-00798,Customer_798,Home Office,United States,Seattle,Arizona,47294,West,PRD-BIN-9514,Office Supplies,Binders,Storex DuraTech,360.26,3,0.1,38.19
89,CA-2021-001669,2019-05-08,2019-05-12,Standard Class,CU-00271,Customer_271,Consumer,United States,Kansas City,Minnesota,22091,Central,PRD-CHA-2279,Furniture,Chairs,La-Z-Boy,2583.05,2,0.1,217.8
90,CA-2020-001325,2019-10-23,2019-10-28,Standard Class,CU-00765,Customer_765,Corporate,United States,Kansas City,Wisconsin,31344,Central,PRD-STO-9408,Office Supplies,Storage,Eldon Stackables,594.9,4,0.0,46.83
91,CA-2021-001968,2019-09-05,2019-09-09,Standard Class,CU-00604,Customer_604,Corporate,United States,Baltimore,New Jersey,24461,East,PRD-CHA-7086,Furniture,Chairs,Global Ergonomic,1571.31,2,0.0,111.12
92,CA-2020-001364,2021-09-28,2021-09-30,Standard Class,CU-00387,Customer_387,Home Office,United States,Atlanta,Louisiana,33996,South,PRD-ART-7841,Office Supplies,Art,Avery Markers,678.9,2,0.1,91.93
93,CA-2021-001341,2021-08-01,2021-08-07,Standard Class,CU-00405,Customer_405,Corporate,United States,San Francisco,Idaho,93422,West,PRD-BIN-2463,Office Supplies,Binders,Cardinal Premier,2880.32,4,0.1,314.42
94,CA-2022-000369,2022-12-19,2022-12-21,Standard Class,CU-00584,Customer_584,Consumer,United States,Detroit,Minnesota,31707,Central,PRD-FAS-2395,Office Supplies,Fasteners,Acco Brass Clips,670.95,1,0.1,93.28
95,CA-2021-001929,2019-02-08,2019-02-12,Standard Class,CU-00448,Customer_448,Corporate,United States,New York,New Hampshire,33559,East,PRD-TAB-9741,Furniture,Tables,Bretford CR4500,1309.9,3,0.3,-46.76
96,CA-2022-001953,2019-08-23,2019-08-30,Standard Class,CU-00174,Customer_174,Consumer,United States,Miami,Tennessee,21930,South,PRD-FAS-3992,Office Supplies,Fasteners,Advantus Alligator,114.84,1,0.0,20.61
97,CA-2019-000011,2021-03-09,2021-03-12,Standard Class,CU-00243,Customer_243,Home Office,United States,Los Angeles,California,49062,West,PRD-FUR-7152,Furniture,Furnishings,Tensor Lamp,8382.7,6,0.0,1064.47
98,CA-2019-001623,2020-10-13,2020-10-17,Second Class,CU-00601,Customer_601,Corporate,United States,Chicago,Ohio,17947,Central,PRD-STO-7676,Office Supplies,Storage,Storex Drawers,3291.52,3,0.0,271.87
99,CA-2021-000400,2019-06-21,2019-06-27,Standard Class,CU-00569,Customer_569,Consumer,United States,Seattle,Utah,68455,West,PRD-BIN-9854,Office Supplies,Binders,Cardinal Premier,5923.09,7,0.1,734.78
100,CA-2021-001679,2019-12-09,2019-12-11,Standard Class,CU-00523,Customer_523,Consumer,United States,St. Louis,Ohio,95597,Central,PRD-PHO-5110,Technology,Phones,Cisco SPA303,3509.92,4,0.2,516.5
101,CA-2020-000695,2022-12-01,2022-12-04,Same Day,CU-00268,Customer_268,Consumer,United States,Boston,Pennsylvania,61813,East,PRD-FUR-4454,Furniture,Furnishings,DAX Frame,4890.1,3,0.2,531.41
102,CA-2021-000794,2020-03-07,2020-03-11,First Class,CU-00570,Customer_570,Corporate,United States,Dallas,Alabama,54778,South,PRD-APP-1033,Office Supplies,Appliances,Holmes Fan,39.3,3,0.0,3.48
103,CA-2022-000692,2022-08-26,2022-08-29,Same Day,CU-00714,Customer_714,Corporate,United States,St. Louis,Minnesota,95078,Central,PRD-TAB-6783,Furniture,Tables,Bretford CR4500,6253.31,6,0.0,-376.29
104,CA-2022-001246,2020-03-29,2020-04-03,Same Day,CU-00506,Customer_506,Consumer,United States,Dallas,Arkansas,11227,South,PRD-LAB-2474,Office Supplies,Labels,Mead Tab,2109.19,4,0.3,316.13
105,CA-2021-000763,2020-02-06,2020-02-13,Second Class,CU-00699,Customer_699,Consumer,United States,St. Louis,Missouri,10935,Central,PRD-ART-9197,Office Supplies,Art,Sanford Pens,1065.17,2,0.2,166.07
106,CA-2020-000138,2022-03-13,2022-03-19,Standard Class,CU-00465,Customer_465,Consumer,United States,Los Angeles,Oregon,44029,West,PRD-MAC-1378,Technology,Machines,Lexmark Laser,16536.06,7,0.0,856.63
107,CA-2019-000998,2020-07-15,2020-07-18,Standard Class,CU-00431,Customer_431,Consumer,United States,Boston,New Jersey,63330,East,PRD-STO-9474,Office Supplies,Storage,Fellowes Bankers,4245.97,4,0.0,294.42
108,CA-2021-000439,2022-03-17,2022-03-23,Standard Class,CU-00029,Customer_29,Consumer,United States,Minneapolis,Indiana,20722,Central,PRD-COP-2219,Technology,Copiers,Brother MFC,2818.77,5,0.0,757.67
109,CA-2020-001234,2021-08-27,2021-08-31,Standard Class,CU-00783,Customer_783,Corporate,United States,Atlanta,Louisiana,24134,South,PRD-APP-9514,Office Supplies,Appliances,Honeywell Heater,3171.58,4,0.3,373.9
110,CA-2019-001164,2021-02-11,2021-02-15,Standard Class,CU-00694,Customer_694,Consumer,United States,New York,New York,14370,East,PRD-ACC-2015,Technology,Accessories,Belkin Mouse Pad,4820.77,5,0.2,570.37
111,CA-2021-000775,2021-04-21,2021-04-25,First Class,CU-00667,Customer_667,Consumer,United States,Kansas City,Minnesota,90911,Central,PRD-APP-7290,Office Supplies,Appliances,Fellowes Shredder,829.28,2,0.2,69.4
112,CA-2020-000048,2020-01-30,2020-02-02,Standard Class,CU-00249,Customer_249,Corporate,United States,St. Louis,Indiana,87045,Central,PRD-BOO-3064,Furniture,Bookcases,Sauder Barrister,1473.02,3,0.2,85.44
113,CA-2021-000038,2022-08-27,2022-09-02,Standard Class,CU-00695,Customer_695,Consumer,United States,Seattle,Utah,77256,West,PRD-CHA-8692,Furniture,Chairs,Hon 5700,1553.51,2,0.0,147.07
114,CA-2019-001175,2020-02-15,2020-02-20,Standard Class,CU-00593,Customer_593,Consumer,United States,Washington DC,Connecticut,35612,East,PRD-BOO-4102,Furniture,Bookcases,Atlantic Oskar,6699.59,3,0.1,361.25
115,CA-2020-000569,2019-08-03,2019-08-07,Second Class,CU-00493,Customer_493,Consumer,United States,Miami,Alabama,31270,South,PRD-ACC-4594,Technology,Accessories,Kensington Lock,11193.95,5,0.1,1482.77
116,CA-2021-000357,2020-01-13,2020-01-19,Standard Class,CU-00784,Customer_784,Home Office,United States,Miami,Louisiana,62469,South,PRD-BOO-6863,Furniture,Bookcases,Bush Bookcase,250.37,1,0.0,15.79
117,CA-2021-000085,2020-03-24,2020-03-30,Standard Class,CU-00694,Customer_694,Home Office,United States,San Francisco,Arizona,32825,West,PRD-LAB-3925,Office Supplies,Labels,Mead Tab,217.88,1,0.0,29.83
118,CA-2019-000715,2021-07-23,2021-07-27,Standard Class,CU-00712,Customer_712,Corporate,United States,Boston,Virginia,49986,East,PRD-COP-2071,Technology,Copiers,Brother MFC,1936.98,1,0.0,493.7
119,CA-2022-000106,2020-08-25,2020-08-31,Second Class,CU-00084,Customer_84,Corporate,United States,Los Angeles,Nevada,80184,West,PRD-APP-3071,Office Supplies,Appliances,Honeywell Heater,2789.56,4,0.4,253.32
120,CA-2022-001302,2022-08-14,2022-08-20,Standard Class,CU-00507,Customer_507,Corporate,United States,Philadelphia,New Hampshire,60871,East,PRD-SUP-3932,Office Supplies,Supplies,ACCO Binder,725.86,2,0.2,16.4
121,CA-2019-001010,2021-07-14,2021-07-20,Second Class,CU-00138,Customer_138,Corporate,United States,Philadelphia,Virginia,36607,East,PRD-FAS-7178,Office Supplies,Fasteners,OIC Binder,3369.34,3,0.0,659.59
122,CA-2022-000746,2021-11-15,2021-11-20,Standard Class,CU-00453,Customer_453,Consumer,United States,Dallas,Texas,70981,South,PRD-STO-7700,Office Supplies,Storage,Iris Stacking,1202.14,2,0.0,68.75
123,CA-2020-001038,2021-11-16,2021-11-21,Standard Class,CU-00257,Customer_257,Corporate,United States,Houston,Tennessee,75767,South,PRD-FUR-2612,Furniture,Furnishings,Deflect-O Panel,954.78,1,0.0,126.61
124,CA-2020-001784,2020-06-18,2020-06-20,First Class,CU-00153,Customer_153,Corporate,United States,Dallas,Florida,81188,South,PRD-FUR-7647,Furniture,Furnishings,DAX Frame,3561.82,4,0.2,552.89
